Information Under Heading,Block,,Jawhar,Vikramgad,Wada,Junnar,Mokhada,Palghar,Sangamner,Akole,Jhadol,Aaspur,Kusalgarh,Bagidora,Talwara-Banswara,Kishanganj,Baran,Antah,Pratapgarh,Begun,Mandalgarh,Mandal,Gogunda,Kumbhalgarh,Pati,Niwali,Barwani,Rajpur,Sendhwa,Zhirniya,Pandhana,Khalwa,Bichiya,Mandla,Ghughri,Tirla,Nalcha,Dhar,Sardarpur,Kukshi,Ranapur,Jhabua,Meghnagar,Thandla,Rama,Burhar,Kotma,Sohagpur,Gohparu,Badnawar,Petlawad,Chicholi,Betul,Athner,Shahpur,Ghoda Dongri,Kundra,Jeypore,Bariguma,Kotapad,Baipariguda,Nabarangpur,Papadahandi,Kosagumda,Bandhugaon,Dasmantpur,Koraput,Lamtaput,Laxmipur,Nandapur,Narayanpatna,Potangi,Semiliguda,Sunabeda NAC,Mawai,Bijadandi,Narayanganj,Niwas,Mohgaon,Beohari,Jaisinghnagar,Bhainsdehi,Bhimpur,Multai,Amla,Prabhat Pattan,Choti Sarvan,Ghatol,Pipalkhoont,Garhi,Surgana,Trimbak,Peint,Igatpuri,Dabugam,Nandahandi,Tentulikhunti,Jharigam,Umerkote,Boriguma
Block Profile,Population,Female,"70,854",69136,86380,196942,41762,261652,236843,144070,123173,,188305,184657,226083,80903,102766,57780,122359,66844,86427,119912,105275,73865,80636,56531,104152,105534,114298,100647,80482,108551,129673,115604,40300,,,276856,145833,160874,56778,161521,85031,90565,,,59299,239367,,111615,116130,43026,137293,52510,56233,115984,29208,91578,49966,61249,64112,60034,50555,47198,30514,25972,35310,,20396,37257,22250,44753,11469,31958,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population,Rural,"128,147",131634,154416,373987,83453,324786,400275,281904,249297,,368566,373825,357570,166864,95563,87661,206734,114635,162859,235640,206197,144231,162432,112639,155557,32943,174833,201756,151815,222512,247895,151026,172823,,,339043,268552,284677,102367,287451,158415,166606,,,58147,310761,,205523,217626,77513,166219,94878,107350,139844,57038,97076,88556,104603,125337,82012,90309,93166,58974,50736,68193,,40232,72579,43575,88128,22247,15270,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population,% of Rural,91.41,95.65,86.57,93.66,100,59.03,82.03,96.56,100,0,97.19,100,77.97,100,44.75,73.03,83.09,84.7,92.17,100,95.93,100,100,100,73.7,15.45,75.58,100,91.73,100,95.96,64.85,100,0,0,58.62,90.57,88.33,89.22,88.94,92.13,91.36,0,0,48.24,63.82,0,90.76,93.48,89.31,59.33,88.84,94.74,59.31,47.61,83.7,90.05,86.5,100,68.94,90.58,100,100,100,100,0,100,100,100,100,100,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population,Urban,"12,040",5991,23954,25315,0,225380,87664,10046,0,,10666,0,101017,0,117992,32377,42079,20705,13844,0,8751,0,0,0,55504,5692,56485,0,13694,0,10427,81845,0,,,239380,27961,37605,12371,35753,12929,15756,,,62386,176169,,20917,15174,9282,113960,11915,5956,95886,0,84830,9785,16326,0,36945,9390,0,0,,,,,0,,0,0,50394,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population,% of Urban,8.59,4.35,13.43,30.33,0,40.97,17.97,3.44,0,0,2.81,0,22.03,0,55.25,26.97,16.91,15.3,7.83,0,4.07,0,0,0,26.3,2.67,24.42,0,8.27,0,4.04,35.15,0,0,0,41.38,9.43,11.67,10.78,11.06,7.52,8.64,#DIV/0!,0,51.76,36.18,0,9.24,6.52,10.69,40.67,11.16,5.26,40.67,0,73.14,9.95,13.5,0,31.06,9.42,0,0,0,0,0,0,0,0,0,0,76.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,# of households,Total,"29,099",26845,39303,85864,17789,128526,95452,59284,51655,,74927,74897,94686,33345,41400,23218,51430,28437,37825,49211,44340,32648,26792,18942,37545,38635,37027,35801,33394,42183,62538,54761,41661,,,116309,58320,58355,22428,60299,30528,34456,,,27538,111421,,45762,46446,17881,59111,22674,23205,49478,13835,42687,23428,29816,30531,27491,23088,20238,12600,13107,18019,,9405,19204,9317,20547,5816,16350,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,# of households,Rural,"26,375",25582,33717,80227,17789,74032,77779,57378,51655,,72723,74897,72697,33345,18123,16906,42681,24489,35008,49211,42478,32648,26792,18942,26628,32943,26919,35801,30909,42183,60174,36326,41661,,,62743,52897,51442,20150,53029,27975,31451,,,14419,74743,,41760,43329,15945,34418,20039,21847,27841,13835,22714,20967,25938,30531,18775,21003,20238,12600,13107,18019,,9405,19204,9317,20547,5816,3906,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,# of households,Urban,"2,724",1263,5586,5637,0,54494,17673,1906,0,,2204,0,21989,0,23277,6312,8749,3948,2817,0,1862,0,0,0,10917,5692,10108,0,2485,0,2364,18435,0,,,53566,5423,6913,2278,7270,2553,3005,,,13119,36678,,4002,3117,1936,24693,2635,1298,21577,0,19973,2461,3878,0,8716,2085,0,0,0,0,,0,0,0,0,0,12444,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population (Male),Rural,63206,65409,79495,189294,41691,165149,206146,142642,126124,,"185,521",189168,180919,85961,49718,45440,104955,57952,83228,115728,105190,70366,81796,56108,78472,91757,88051,101109,77951,113961,123313,75722,84634,,,172947,136504,142249,51565,143308,80201,83515,,,28943,156722,,103953,108879,38950,84661,48292,54056,69991,27830,47726,43458,51735,61225,40440,44622,45968,28460,24764,32883,,19836,35322,21325,43375,10778,7690,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population (Male),Urban,6127,3080,12495,13066,0,123365,44950,5238,0,,"5,406",0,51585,0,61071,16818,21499,10544,7048,0,4483,0,0,0,28437,15925,28969,0,7076,0,5336,41545,0,,,128620,14176,19159,6395,18375,6712,8282,,,32291,90841,,10872,7791,4819,58225,5991,3017,49815,0,42602,4917,7945,0,18483,4522,0,0,0,0,,0,0,0,0,0,26016,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population (Male),% Population-Male,49.46,49.76,51.57,50.68,49.96,52.44,51.46,50.65,50.59,#DIV/0!,48.76,50.6,50.7,51.52,51.88,51.87,50.82,120.33,51.09,49.11,51.02,48.79,50.36,49.81,50.62,50.5,50.59,50.11,51.37,51.22,49.8,50.36,24.04,0,0,52.14,50.82,50.08,50.52,50.03,50.55,50.34,#DIV/0!,0,50.8,50.84,0,50.71,50.12,50.43,51,50.83,50.37,50.81,48.79,49.66,49.19,49.35,48.85,49.53,49.29,49.34,48.26,48.81,48.22,0,49.3,48.67,48.94,49.22,48.45,51.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population (Female),Rural,"64,941",66225,74921,184693,41762,159637,194129,139262,123173,,183045,184657,176651,80903,45845,42221,101779,56683,79631,119912,101007,73865,80636,56531,77085,90399,86782,100647,73864,108551,124582,75304,88189,,,166096,132048,142428,50802,144143,78814,83091,,,29204,154039,,101570,108747,38563,81558,46586,53294,69913,29208,49350,45098,52868,64112,41572,45687,47198,30514,25972,35310,,20396,37257,22250,44753,11469,7580,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population (Female),Urban,"5,913",2911,11459,12249,0,102015,42714,4808,0,,5260,0,49432,0,56921,15559,20580,10161,6796,0,4268,0,0,0,27067,15135,27516,0,6618,0,5091,40300,0,,,110760,13785,18446,5976,17378,6217,7474,,,30095,85328,,10045,7383,4463,55735,5924,2939,46071,0,42228,4868,8381,0,18462,4868,0,0,0,0,,0,0,0,0,0,24378,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Population (Female),% Population-Female,50.54,50.24,48.43,49.32,50.04,47.56,48.54,49.35,49.41,#DIV/0!,49.65,49.4,49.3,48.48,48.12,48.13,49.18,10.23,48.91,50.89,48.98,51.21,49.64,50.19,49.35,49.5,49.41,49.89,48.63,48.78,50.2,49.64,23.32,0,0,47.86,49.18,49.92,49.48,49.97,49.45,49.66,#DIV/0!,0,49.2,49.16,0,49.29,49.88,49.57,49,49.17,49.63,49.19,51.21,50.34,50.81,50.65,51.15,50.47,50.71,50.66,51.74,51.19,51.78,0,50.7,51.33,51.06,50.78,51.55,48.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,Tribal (Yes/No),,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Education Background,Educationally Backward Block (Yes/No),,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Male),Rural,"61,211",61034,48556,39856,38246,71960,25214,68164,95036,,171534,161124,149430,30937,10485,5104,55113,6642,10602,6578,53793,21598,68538,48708,55683,72485,79588,80761,30004,78398,77635,36732,58461,,,85557,88090,109969,49381,135928,75295,79335,,,11334,84379,,40155,84678,27589,34450,25507,36710,42759,14523,20959,24175,31967,34872,21614,24985,28510,22609,15438,15398,,14433,17259,17931,26899,5151,2908,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Male),% Rural,96.73,97.43,94.91,97.49,100,86.26,95.8,96.92,100,#DIV/0!,99.6,100,96.74,100,76.18,90.54,96.84,98.02,97.99,100,98.83,100,89.25,100,89.25,95.37,96.59,100,96,100,97.97,87.78,100,0,0,79.71,96.23,95.77,96.22,95.24,96.74,96.8,#DIV/0!,0,67.73,88.88,0,96.69,97.87,98.87,87.4,98.95,97.82,87.75,100,82.89,95.42,94.55,100,89.64,93.54,100,100,100,100,0,100,100,100,100,100,44.86,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Male),Urban,"2,069",1612,2604,1026,0,11464,1105,2163,0,,682,0,5032,0,3278,533,1797,134,218,0,635,0,0,0,6709,3519,2809,0,1250,0,1605,5113,0,,,21779,3452,4852,1941,6792,2541,2622,,,5399,10553,,1373,1846,315,4968,271,817,5967,0,4326,1161,1841,0,2497,1725,0,0,0,0,,0,0,0,0,0,3574,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Male),% Urban,3.27,2.57,5.09,2.51,0,13.74,4.2,3.08,0,#DIV/0!,0.4,0,3.26,0,23.82,9.46,3.16,1.98,2.01,0,1.17,0,10.75,0,10.75,4.63,3.41,0,4,0,2.03,12.22,0,0,0,20.29,3.77,4.23,3.78,4.76,3.26,3.2,#DIV/0!,0,32.27,11.12,0,3.31,2.13,1.13,12.6,1.05,2.18,12.25,0,17.11,4.58,5.45,0,10.36,6.46,0,0,0,0,0,0,0,0,0,0,55.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Male),Total,63280,62646,51160,40882,38246,83424,26319,70327,95036,0,172216,161124,154462,30937,13763,5637,56910,6776,10820,6578,54428,21598,62392,48708,62392,76004,82397,80761,31254,78398,79240,41845,58461,0,0,107336,91542,114821,51322,142720,77836,81957,0,0,16733,94932,0,41528,86524,27904,39418,25778,37527,48726,14523,25285,25336,33808,34872,24111,26710,28510,22609,15438,15398,0,14433,17259,17931,26899,5151,6482,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Female),Rural,"63,048",62075,47967,39174,38596,73172,24344,67523,93889,,169769,157839,147481,29379,9479,4811,53539,6474,9932,6887,52168,21478,67917,49759,55398,71888,78841,81102,29190,75506,79816,37675,62127,,,82553,85848,111050,48803,137505,74213,79121,,,11852,85101,,39822,91239,27759,34427,24918,36808,43793,15667,22635,25368,32919,37418,22680,25906,29293,24450,16413,17085,,15494,18641,18841,28018,5610,3359,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Female),% Rural,96.73,97.42,94.89,97.84,100,86.36,96.1,97.29,100,#DIV/0!,99.6,100,96.71,100,76.08,90.52,96.99,98.08,98.18,100,98.82,100,89.91,100,89.91,95.47,96.84,100,96.17,100,98.1,87.69,100,0,0,79.8,96.12,95.72,96.6,95.58,96.65,97.39,#DIV/0!,0,68.67,88.6,0,96.78,98.06,98.85,87.18,98.55,97.62,88.03,100,82.68,95.41,93.88,100,89.85,92.4,100,100,100,100,0,100,100,100,100,100,48.65,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Female),Urban,"2,134",1647,2582,866,0,11556,989,1880,0,,686,0,5025,0,2981,504,1662,127,184,0,624,0,0,0,6220,3410,2575,0,1162,0,1550,5291,0,,,20893,3466,4962,1718,6358,2576,2117,,,5407,10955,,1326,1809,324,5062,367,897,5956,0,4743,1220,2145,0,2563,2132,0,0,0,0,,0,0,0,0,0,3545,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Female),% Urban,3.27,2.58,5.11,2.16,0,13.64,3.9,2.71,0,#DIV/0!,0.4,0,3.29,0,23.92,9.48,3.01,1.92,1.82,0,1.18,0,10.09,0,10.09,4.53,3.16,0,3.83,0,1.9,12.31,0,0,0,20.2,3.88,4.28,3.4,4.42,3.35,2.61,#DIV/0!,0,31.33,11.4,0,3.22,1.94,1.15,12.82,1.45,2.38,11.97,0,17.32,4.59,6.12,0,10.15,7.6,0,0,0,0,0,0,0,0,0,0,51.35,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Profile,ST (Female),Total,65182,63722,50549,40040,38596,84728,25333,69403,93889,0,170455,157839,152506,29379,12460,5315,55201,6601,10116,6887,52792,21478,61618,49759,61618,75298,81416,81102,30352,75506,81366,42966,62127,0,0,103446,89314,116012,50521,143863,76789,81238,0,0,17259,96056,0,41148,93048,28083,39489,25285,37705,49749,15667,27378,26588,35064,37418,25243,28038,29293,24450,16413,17085,0,15494,18641,18841,28018,5610,6904,,,,,,,,,,,,,,,,,,,,,,,,,,
